Company Name,Location,Phone,Website,Employees,Revenue,Industry,SIC Code,NAICS Code,Specialties,Page URL
A.I.M. Mutual Insurance Companies,,"[{'number': '+1 781-221-1600', 'score': 'high', 'type': 'company_line'}]",http://www.aimmutual.com,,$100 - 250M,Financial Services,,,,https://www.adapt.io/company/a-i-m--mutual-insurance-companies-2
A J C GARFUNKEL,,,http://www.ajcgarfunkel.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-j-c-garfunkel
A John Moris & Co. Chartered Accountatns,,"[{'score': 'high', 'number': '+91 44 2811 6003', 'type': 'company_line'}]",http://www.ajohnmoris.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-john-moris---co-
AKJ,,"[{'score': 'high', 'number': '+44 20 3289 3923', 'type': 'company_line'}]",http://www.akj.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-k-jensen
"A Kennedy Group, Inc.",,,http://www.akennedygroup.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-kennedy-group--inc-
A.L. Insurance Group,,"[{'score': 'high', 'number': '+1 360-694-7994', 'type': 'company_line'}]",http://www.alinsure.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-l--insurance-group--inc-
Progressive Insurance,,,http://www.progressive.com,,> $1B,Financial Services,,,,https://www.adapt.io/company/a-l-hofaker-inc-1
A La Carte Business Services,,,http://www.alacarteny.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-la-carte-business-services-inc
A La CARTE Solutions,,,http://www.alacarte-solutions.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-la-carte-solutions
a-labs,,,http://www.alabs.co,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-labs
A-Level Capital,,,http://www.alevelcapital.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-level-capital
AMFCO,,,http://www.amfco.net,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-m-f-c-o
A.M.I. Contract Foodservice,,"[{'score': 'high', 'number': '+1 860-669-4100', 'type': 'company_line'}]",http://www.amifood.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-m-i--contract-foodservice
A-Mark Precious Metals,,,http://www.amark.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-mark-precious-metals
Ana Services,,,http://www.anaservices.com.sg,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-n-a-management-services
A N GAWADE & CO,,"[{'score': 'high', 'number': '+91 77220 63311', 'type': 'company_line'}]",http://www.angca.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-n-gawade---co
A Neumann & Associates,,,http://www.neumannassociates.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-neumann---associates-1
nbkids.net,,,http://www.nbkids.net,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-new-beginning-child-care
A New Me,,"[{'score': 'high', 'number': '+1 310-792-2345', 'type': 'company_line'}]",http://www.iamanewme.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-new-me
A North Star Insurance Agency,,,http://www.northstarmutual.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-north-star-insurance-agency
APL,,"[{'score': 'high', 'number': '+1 610-524-8266', 'type': 'company_line'}]",http://www.aplubrano.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-p--lubrano-health-and-welfare-consulting
Point Mortgage,,,http://www.pointmtg.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-p-ltd-corporation
A.P.T. PORTFOLIO,,"[{'score': 'medium', 'number': '+1 1143061867', 'type': 'company_line'}]",http://www.aptportfolio.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-p-t--portfolio-
A Plus Schools,,"[{'score': 'high', 'number': '+1 412-697-1298', 'type': 'company_line'}]",http://www.aplusschools.org,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-plus-schools
A Priori Investment Management,,"[{'score': 'high', 'number': '+1 212-302-1985', 'type': 'company_line'}]",http://www.aprioriinvestments.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-priori-investment-management-llc
Armstrong & Quaile Insurance Agency Inc.,,,http://www.a-q.com,,,Financial Services,,,,https://www.adapt.io/company/a-q
"A/R Funding, Inc",,,http://www.arfunding.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-r-funding--inc
A.R.M. Solutions,,"[{'score': 'high', 'number': '+1 888-772-6468', 'type': 'company_line'}]",http://www.armsolutions.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-r-m--solutions
A Rex Family Company- Cornerstone Financial Services Inc.,,,http://www.cfspro.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-rex-family-company--cornerstone-financial-services-inc-
A.S.A.P. Mortgage Corp,,,http://www.asapmortgageinc.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-s-a-p--mortgage-corp-
A Silver Lining Foundation,,,http://www.asilverliningfoundation.org,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-silver-lining-foundation
ASMALLWORLD,,,http://www.asmallworld.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-small-world-travel
Smart Start,,"[{'score': 'high', 'number': '+1 919-821-7999', 'type': 'company_line'}]",http://www.smartstart.org,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-smart-start-child
A Special Needs Plan,,,http://www.aspecialneedsplan.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-special-needs-plan
A. Stotz,,"[{'score': 'high', 'number': '+66 81 874 0397', 'type': 'company_line'}]",http://www.astotz.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-stotz
A.T. Financial Group Inc.,,"[{'score': 'high', 'number': '+1 905-707-1087', 'type': 'company_line'}]",http://www.atfinancialgroup.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-t--financial-group
A.T. Financial Services LLC,,,http://www.atfin.net,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-t--financial-services-llc
A.T. Matthews & Dier,,,http://www.nnyinsurance.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-t--matthews---dier
A&T BANK,,,http://www.atbank.com.tr,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/a-t-bank
A to Z Insurance,,"[{'score': 'high', 'number': '+1 844-474-2291', 'type': 'company_line'}]",http://www.atozinsuranceonline.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a-to-z-insurance
A Tool Shed,,,http://www.atoolshed.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-tool-shed-inc
A.V. Arias & Co.,,,http://www.dkllpcpa.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-v--arias---co-
Lienau AV Associates,,"[{'score': 'high', 'number': '+1 410-995-6011', 'type': 'company_line'}]",http://www.lienauav.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-v-associates-1
A V FINANCIAL SERVICES LTD,,"[{'score': 'high', 'number': '+1 562-592-2075', 'type': 'company_line'}]",http://www.atozfinancialservices.co.uk,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-v-financial-services-ltd
A.V. Powell & Associates,,"[{'score': 'high', 'number': '+1 636-530-1072', 'type': 'company_line'}]",http://www.avpowell.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-v-powell---associates-llc
A W Anderson,,,http://www.awanderson.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a-w-anderson
"A.W.G. Dewar, Inc.",,,http://www.tuitionrefundplan.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a-w-g--dewar--inc-
A&W Food Services of Canada,,"[{'score': 'high', 'number': '+1 709-393-1113', 'type': 'company_line'}]",http://www.web.aw.ca,,$500M - 1B,Financial Services,,,,https://www.adapt.io/company/a-w-mobile
A1 Capital Yatırım Menkul Degerler A.S.,,"[{'score': 'high', 'number': '+90 212 371 18 00', 'type': 'company_line'}]",http://www.a1capital.com.tr,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a1-capital-menkul-degerler-a-s-
A1 Facility Management,,"[{'score': 'high', 'number': '+91 99840 33888', 'type': 'company_line'}]",http://www.a1facilitymanagement.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a1-facility-management
A1 Investments,,"[{'score': 'high', 'number': '+7 495 967-00-00', 'type': 'company_line'}]",http://www.a-1.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a1-investments
A1 Merchant Solutions LLC,,,http://www.a-1merchantsolutions.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a1-merchant-solutions-llc-1
A1HR,,,http://www.a1hr.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a1hr
A2C,,"[{'score': 'high', 'number': '+216 71 961 260', 'type': 'company_line'}]",http://www.a2c.com.tn,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/a2c--2
A2G Seguros,,,http://www.a2gseguros.com.br,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/a2g-seguros-
A2Q2,,,http://www.a2q2.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/a2q2
AA Lares Insurance Services,,,http://www.laresinsurance.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aa-lares-insurance-services--inc-
AA Munro Insurance,,"[{'score': 'high', 'number': '+1 855-226-8676', 'type': 'company_line'}]",http://www.aamunro.com,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/aa-munro-insurance-brokers-inc
Aaa Associates,,,http://www.aaa-associates.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaa-associates-1
AAA Auto Club South,,,http://www.autoclubsouth.aaa.com,,$500M - 1B,Financial Services,,,,https://www.adapt.io/company/aaa-auto-club-south
AAA Bailbonds,,,http://www.aaabailbondsii.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaa-bailbonds
Aaa Bookkeeping & Tax Service,,,http://www.aaabookkeeping.net,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaa-bookkeeping-solutions
Ahmad Alagbari Chartered Accountants,,"[{'score': 'high', 'number': '+971 4 228 7774', 'type': 'company_line'}]",http://www.aaa-cas.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aaa-cas
AAA Fair Credit Foundation,,"[{'score': 'high', 'number': '+1 801-483-0999', 'type': 'company_line'}]",http://www.faircredit.org,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aaa-fair-credit-foundation-1
AAA Community Finance,,,http://www.aaacommunityfinance.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aaa-finance-co
Keystone,,,http://www.keystoneinsgrp.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaa-keystone-insurance-co
AAA Life Insurance Company,,"[{'score': 'high', 'number': '+1 888-252-3127', 'type': 'company_line'}]",http://www.aaalife.com,,$100 - 250M,Financial Services,,,,https://www.adapt.io/company/aaa-life-insurance-company-1
AAA Mortgage LLC,,,http://www.aaa1loan.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aaa-mortgage-llc
AAA Mortgage Solutions,,,http://www.aaamortgageofga.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaa-mortgage-solutions-2
"AAA Northern California, Nevada and Utah",,"[{'score': 'high', 'number': '+1 415-565-2141', 'type': 'company_line'}]",http://www.csaa.com,,,Financial Services,,,,https://www.adapt.io/company/aaa-northern-california--nevada-and-utah
AAA Party Rentals,,,http://www.aaapartyrentals.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aaa-party-rentals
AAA Soliditet,,,http://www.soliditet.no,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/aaa-soliditet
aaa-texas,,,http://www.aaa-texas.com,,,Financial Services,,,,https://www.adapt.io/company/aaa-texas
"AAA Tree Service and Landscape, Inc.",,,http://www.aaatreeserviceandlandscape.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaa-tree-service-and-landscape--inc-
AAA Ultimate Pawn,,"[{'score': 'high', 'number': '+1 402-937-7240', 'type': 'company_line'}]",http://www.aaaultimatepawn.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aaa-ultimate-pawn
AAA Warranty Corp,,,http://www.aaa-warranty.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aaa-warranty-corp
AAAA Insurance,,"[{'score': 'high', 'number': '+1 281-272-2222', 'type': 'company_line'}]",http://www.aaaains.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aaaa-auto-insurance
AAA Capital Services Pvt.,,"[{'score': 'high', 'number': '+91 11 4653 6011', 'type': 'company_line'}]",http://www.aaacapitalservices.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aaacapitalservices-com
AAAID,,"[{'score': 'high', 'number': '+1 847-866-7522', 'type': 'company_line'}]",http://www.aaaid.org,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aaaid
AAAIM,,,http://www.aaaim.org,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaaim-org
"AAA Marketing Services, LLC",,,http://www.aaamarketingservices.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaamarketingservices
Shoqata Shqiptare e Bankave,,"[{'score': 'high', 'number': '+355 4 228 0371', 'type': 'company_line'}]",http://www.aab.al,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aab-8
AAB - Abulrahman Alnuaimi Auditing of Accounts,,"[{'score': 'high', 'number': '+971 4 265 3222', 'type': 'company_line'}]",http://www.aabdxb.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aabdxb
AAC Credit Union,,"[{'score': 'high', 'number': '+1 800-858-1633', 'type': 'company_line'}]",http://www.aaccreditunion.net,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aac-credit-union-2
"AACANet,Inc.",,,http://www.aacanet.net,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aacanet-inc-
AACL,,,http://www.aacl.com.au,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aacl-1
Associated Accountants,,"[{'score': 'high', 'number': '+966 11 460 2551', 'type': 'company_line'}]",http://www.aacpa.com.sa,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aacpa-2
Aadhar Housing Finance,,,http://www.aadharhousing.com,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/aadhar-housing-finance-pvt--ltd--1
AAdvantage Insurance Group,,"[{'score': 'high', 'number': '+1 303-499-7111', 'type': 'company_line'}]",http://www.aadvantageins.net,,,Financial Services,,,,https://www.adapt.io/company/aadvantage-insurance-group
AAFC - African Asset Finance Company,,,http://www.aafc.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aafc-2
AAFCPAs,,,http://www.aafcpa.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aafcpas-wealth-management-1
Aafiya,,,http://www.aafiya.ae,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aafiya
AAFMAA,,"[{'score': 'high', 'number': '+1 888-851-2493', 'type': 'company_line'}]",http://www.aafmaa.com,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aafmaa-wealth-management---trust-llc
AAI Associates,,,http://www.aaiassociates.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aai-associates
AAI Financial Group,,,http://www.aaifg.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aai-financial-group
American Alliance Insurance Brokers,,,http://www.aaib.us,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaib-business-solutions--llc
Amalgamated Australian Investment Group,,,http://www.aaigl.com.au,,$10 - 50M,Financial Services,,,,https://www.adapt.io/company/aaigl-com-au
AAIMCo,,"[{'score': 'high', 'number': '+1 717-763-7717', 'type': 'company_line'}]",http://www.aaimco.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aaimco-com
AAIS (American Association of Insurance Services),,,http://www.aaisonline.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aais--american-association-of-insurance-services-
AAJV & ASSOICIATES,,"[{'score': 'high', 'number': '+91 11 6564 5886', 'type': 'company_line'}]",http://www.aajvca.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aajv---assoiciates
"Aalfs, Evans & Company",,,http://www.aalfsevans.com,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aalfs--evans---company
AALL Insurance Group,,"[{'score': 'high', 'number': '+1 602-396-4444', 'type': 'company_line'}]",http://www.aall.net,,$50 - 100M,Financial Services,,,,https://www.adapt.io/company/aall-insurance-2
AAM,,"[{'number': '+312-263-2900', 'score': 'high', 'type': 'company_line'}]",http://www.aamcompany.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aam---insurance-investment-management-1
AAMA,,,http://www.aama.org,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aama-2
AAMC,,,http://www.aamcommercial.com.au,,,Financial Services,,,,https://www.adapt.io/company/aamcommercial-com-au-1
AAMS,,,http://www.aamsonline.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aams-5
AANA Foundation,,,http://www.aana.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aana-foundation
AAP Finance Brokers,,"[{'score': 'high', 'number': '+61 1300 141 453', 'type': 'company_line'}]",http://www.aapfb.com,,$1 - 10M,Financial Services,,,,https://www.adapt.io/company/aap-finance-brokers
AAR Financial,,,http://www.aarfinancial.ca,,$0 - 1M,Financial Services,,,,https://www.adapt.io/company/aar-financial-inc-
